runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
101,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,90.0,59.0,53.45,3,1,0,0,1,0,2010.0,0.0
119,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,64.0,40.5,51.15,3,1,0,0,0,1,2001.0,1.0
118,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,82.0,98.0,84.45,0,1,0,0,0,1,1953.0,0.0
113,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,71.5,71.5,85.0,2,1,0,1,0,0,2014.0,0.0
104,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,72.5,53.5,55.35,0,1,1,0,0,0,1995.0,1.0
127,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58.5,58.5,53.7,3,1,0,0,0,1,1999.0,1.0
90,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48.0,63.0,100.0,1,1,0,0,1,0,2011.0,0.0
100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,71.0,31.0,56.95,2,1,1,0,0,0,2012.0,0.0
114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75.0,75.0,73.4,0,0,0,0,0,0,,
98,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,75.5,75.5,71.1,2,1,1,0,0,0,2008.0,0.0
127,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,82.0,82.0,77.05,0,1,0,0,1,0,1977.0,0.0
97,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,64.0,63.0,73.8,0,1,0,0,1,0,1997.0,1.0
101,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.0,34.0,57.0,1,1,0,0,1,0,2007.0,1.0
112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75.0,75.0,72.3,1,1,0,1,0,0,2007.0,1.0
125,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,81.0,42.0,52.5,0,1,0,1,0,0,1974.0,1.0
